"STATION,""DATE"",""LATITUDE"",""LONGITUDE"",""ELEVATION"",""NAME"",""TEMP"",""TEMP_ATTRIBUTES"",""DEWP"",""DEWP_ATTRIBUTES"",""SLP"",""SLP_ATTRIBUTES"",""STP"",""STP_ATTRIBUTES"",""VISIB"",""VISIB_ATTRIBUTES"",""WDSP"",""WDSP_ATTRIBUTES"",""MXSPD"",""GUST"",""MAX"",""MAX_ATTRIBUTES"",""MIN"",""MIN_ATTRIBUTES"",""PRCP"",""PRCP_ATTRIBUTES"",""SNDP"",""FRSHTT"""
"72259003927,""2012-01-20"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  58.2"",""24"",""  45.4"",""24"",""1007.7"",""24"",""986.6"",""24"",""  9.5"",""24"",""  9.0"",""24"","" 18.1"",""999.9"",""  77.0"","" "",""  37.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-21"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  48.1"",""24"",""  34.9"",""24"",""1013.7"",""24"",""992.4"",""24"","" 10.0"",""24"","" 10.4"",""24"","" 19.0"","" 28.0"",""  77.0"","" "",""  36.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-22"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  53.5"",""24"",""  41.0"",""24"",""1007.9"",""19"",""986.1"",""24"",""  6.8"",""24"","" 11.1"",""24"","" 25.1"","" 36.9"",""  79.0"","" "",""  39.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-23"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  54.5"",""24"",""  33.1"",""23"",""1015.7"",""24"",""994.2"",""24"",""  9.5"",""24"",""  9.2"",""24"","" 22.0"","" 33.0"",""  79.0"","" "",""  39.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-24"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  52.6"",""24"",""  33.0"",""24"",""1016.2"",""23"",""994.6"",""24"",""  9.9"",""24"",""  4.9"",""24"","" 15.0"","" 20.0"",""  68.0"","" "",""  42.1"","" "","" 0.00"",""G"",""999.9"",""010010"""
"72259003927,""2012-01-25"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  49.9"",""24"",""  47.5"",""24"",""1011.9"","" 9"",""990.2"",""24"",""  6.0"",""24"","" 12.7"",""24"","" 24.1"","" 31.1"",""  68.0"","" "",""  43.0"","" "","" 3.08"",""G"",""999.9"",""010010"""
"72259003927,""2012-01-26"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  50.4"",""24"",""  42.5"",""24"",""1012.9"",""20"",""991.2"",""24"",""  8.1"",""24"","" 11.1"",""24"","" 17.1"","" 19.0"",""  60.1"","" "",""  45.0"","" "","" 1.26"",""G"",""999.9"",""010000"""
"72259003927,""2012-01-27"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  50.7"",""24"",""  38.2"",""24"",""1014.8"",""24"",""993.4"",""24"","" 10.0"",""24"",""  9.8"",""24"","" 25.1"","" 29.9"",""  66.9"","" "",""  35.1"","" "","" 0.07"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-28"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  49.4"",""24"",""  29.3"",""24"",""1026.2"",""24"",""003.9"",""24"","" 10.0"",""24"","" 13.0"",""24"","" 22.0"","" 27.0"",""  66.9"","" "",""  37.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-29"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  43.9"",""24"",""  26.1"",""24"",""1030.0"",""24"",""008.1"",""24"","" 10.0"",""24"",""  4.7"",""24"","" 11.1"",""999.9"",""  61.0"","" "",""  30.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-30"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  51.8"",""24"",""  36.3"",""24"",""1023.0"",""24"",""001.4"",""24"","" 10.0"",""24"","" 10.1"",""24"","" 18.1"","" 24.1"",""  66.9"","" "",""  30.2"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-01-31"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  64.7"",""24"",""  55.4"",""24"",""1016.9"",""24"",""995.9"",""24"","" 10.0"",""24"","" 13.5"",""24"","" 18.1"","" 22.9"",""  75.0"",""*"",""  60.1"",""*"","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-01"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  61.6"",""24"",""  55.4"",""24"",""1016.5"",""17"",""995.5"",""24"",""  6.7"",""24"",""  6.2"",""24"","" 14.0"",""999.9"",""  75.9"","" "",""  51.1"","" "","" 0.00"",""G"",""999.9"",""010000"""
"72259003927,""2012-02-02"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  58.1"",""24"",""  51.9"",""24"",""1018.1"",""21"",""997.0"",""24"",""  8.7"",""24"",""  6.1"",""24"","" 14.0"","" 18.1"",""  75.0"","" "",""  46.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-03"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  66.9"",""24"",""  62.4"",""24"",""1013.4"",""18"",""992.5"",""24"",""  9.1"",""24"","" 12.7"",""24"","" 19.0"","" 22.9"",""  73.9"",""*"",""  64.0"",""*"","" 0.02"",""G"",""999.9"",""010000"""
"72259003927,""2012-02-04"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  54.5"",""24"",""  44.1"",""24"",""1019.1"",""24"",""997.7"",""24"","" 10.0"",""24"","" 14.8"",""24"","" 20.0"","" 27.0"",""  73.9"","" "",""  46.0"","" "","" 0.03"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-05"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  44.2"",""24"",""  32.1"",""24"",""1027.0"",""22"",""005.2"",""24"","" 10.0"",""24"","" 13.9"",""24"","" 19.0"","" 24.1"",""  51.1"",""*"",""  39.2"",""*"","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-06"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  42.0"",""24"",""  32.4"",""24"",""1026.4"",""24"",""004.5"",""24"","" 10.0"",""24"",""  4.4"",""24"",""  8.9"",""999.9"",""  54.0"","" "",""  33.1"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-07"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  51.7"",""24"",""  38.5"",""24"",""1022.6"",""24"",""001.0"",""24"","" 10.0"",""24"",""  2.3"",""24"",""  9.9"",""999.9"",""  60.1"","" "",""  34.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-08"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  45.1"",""24"",""  36.2"",""24"",""1029.1"",""24"",""007.3"",""24"",""  9.9"",""24"",""  8.5"",""24"","" 14.0"",""999.9"",""  60.1"","" "",""  41.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-09"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  42.7"",""24"",""  33.9"",""24"",""1025.6"",""23"",""004.1"",""24"",""  9.5"",""24"",""  3.1"",""24"","" 12.0"",""999.9"",""  57.0"","" "",""  35.1"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-10"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  51.2"",""24"",""  41.8"",""24"",""1019.9"",""22"",""998.1"",""24"",""  9.2"",""24"","" 10.2"",""24"","" 19.0"","" 22.0"",""  57.9"","" "",""  36.0"","" "","" 0.12"",""G"",""999.9"",""010000"""
"72259003927,""2012-02-11"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  35.2"",""24"",""  20.5"",""24"",""1031.0"",""24"",""008.9"",""24"","" 10.0"",""24"","" 13.6"",""24"","" 20.0"","" 26.0"",""  57.9"","" "",""  28.9"","" "","" 0.08"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-12"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  32.5"",""24"",""  13.0"",""24"",""1034.3"",""24"",""012.0"",""24"","" 10.0"",""24"",""  8.2"",""24"","" 15.0"","" 18.1"",""  42.1"","" "",""  25.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-13"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  38.1"",""24"",""  32.9"",""24"",""1018.7"",""19"",""997.0"",""24"",""  7.6"",""24"",""  7.9"",""24"","" 13.0"",""999.9"",""  46.9"","" "",""  27.1"","" "","" 0.10"",""G"",""999.9"",""011000"""
"72259003927,""2012-02-14"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  49.5"",""24"",""  46.0"",""24"",""1011.9"",""20"",""990.7"",""24"",""  3.5"",""24"",""  6.4"",""24"","" 12.0"",""999.9"",""  64.9"","" "",""  34.0"","" "","" 0.16"",""G"",""999.9"",""100000"""
"72259003927,""2012-02-15"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  59.3"",""24"",""  49.6"",""24"",""1011.5"",""19"",""990.5"",""24"",""  7.7"",""24"",""  9.8"",""24"","" 17.1"","" 22.9"",""  75.9"","" "",""  45.0"","" "","" 0.00"",""G"",""999.9"",""110000"""
"72259003927,""2012-02-16"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  52.4"",""24"",""  36.2"",""24"",""1019.7"",""24"",""998.4"",""24"",""  9.3"",""24"",""  9.9"",""24"","" 15.0"",""999.9"",""  75.9"","" "",""  42.1"","" "","" 0.04"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-17"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  51.9"",""24"",""  44.4"",""24"",""1019.9"",""24"",""998.3"",""24"",""  8.9"",""24"",""  4.2"",""24"",""  8.0"",""999.9"",""  63.0"","" "",""  43.0"","" "","" 0.00"",""G"",""999.9"",""010000"""
"72259003927,""2012-02-18"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  51.5"",""24"",""  46.3"",""24"",""1014.4"",""19"",""992.8"",""24"",""  7.0"",""24"",""  9.6"",""24"","" 18.1"","" 22.9"",""  63.0"","" "",""  46.0"","" "","" 0.44"",""G"",""999.9"",""010000"""
"72259003927,""2012-02-19"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  45.6"",""24"",""  41.4"",""24"",""1018.2"",""22"",""996.4"",""24"",""  6.1"",""24"",""  8.0"",""24"","" 14.0"",""999.9"",""  54.0"","" "",""  37.9"","" "","" 0.97"",""G"",""999.9"",""010000"""
"72259003927,""2012-02-20"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  50.2"",""24"",""  44.1"",""24"",""1015.2"",""23"",""993.9"",""24"",""  8.5"",""24"","" 11.0"",""24"","" 24.1"","" 28.9"",""  63.0"","" "",""  39.9"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-21"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  52.9"",""24"",""  31.9"",""24"",""1017.8"",""24"",""996.5"",""24"",""  9.7"",""24"",""  9.0"",""24"","" 17.1"","" 26.0"",""  69.1"","" "",""  35.1"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-22"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  65.1"",""24"",""  47.6"",""24"",""1008.3"",""24"",""987.3"",""24"","" 10.0"",""24"","" 11.9"",""24"","" 15.0"","" 22.0"",""  79.0"",""*"",""  55.0"",""*"","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-23"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  67.5"",""24"",""  33.7"",""24"","" 998.1"",""24"",""977.4"",""24"","" 10.0"",""24"","" 12.1"",""24"","" 19.0"","" 25.1"",""  82.0"","" "",""  52.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-24"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  54.4"",""24"",""  26.5"",""24"",""1016.3"",""24"",""995.0"",""24"","" 10.0"",""24"","" 14.9"",""24"","" 22.9"","" 28.9"",""  82.0"","" "",""  44.1"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-25"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  49.4"",""24"",""  22.4"",""24"",""1026.7"",""24"",""005.0"",""24"","" 10.0"",""24"",""  7.7"",""24"","" 15.0"","" 22.0"",""  64.0"","" "",""  35.1"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-26"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  51.8"",""24"",""  32.3"",""24"",""1019.7"",""24"",""998.2"",""24"","" 10.0"",""24"","" 12.3"",""24"","" 20.0"","" 28.0"",""  64.9"","" "",""  37.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-27"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  59.8"",""24"",""  48.9"",""24"",""1021.4"",""24"",""000.0"",""24"","" 10.0"",""24"",""  5.8"",""24"","" 15.9"",""999.9"",""  71.1"","" "",""  39.9"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-28"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  64.4"",""24"",""  55.3"",""24"",""1017.3"",""23"",""996.2"",""24"",""  9.9"",""24"","" 10.4"",""24"","" 21.0"","" 33.0"",""  73.4"",""*"",""  59.0"",""*"","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-02-29"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  68.7"",""24"",""  44.8"",""24"",""1013.2"",""24"",""992.2"",""24"",""  9.5"",""24"",""  9.3"",""24"","" 15.0"","" 20.0"",""  77.0"","" "",""  57.9"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-03-01"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  62.8"",""24"",""  38.3"",""24"",""1010.4"",""24"",""989.3"",""24"","" 10.0"",""24"",""  7.4"",""24"","" 18.1"","" 24.1"",""  80.1"","" "",""  46.9"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-03-02"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  65.5"",""24"",""  52.2"",""24"",""1004.6"",""24"",""983.6"",""24"",""  8.6"",""24"","" 13.9"",""24"","" 19.0"","" 27.0"",""  80.1"","" "",""  46.9"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-03-03"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  52.9"",""24"",""  31.4"",""24"",""1015.4"",""24"",""994.1"",""24"","" 10.0"",""24"",""  9.0"",""24"","" 15.0"","" 19.0"",""  69.1"","" "",""  41.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-03-04"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  54.4"",""24"",""  25.8"",""24"",""1019.8"",""24"",""998.3"",""24"","" 10.0"",""24"",""  8.2"",""24"","" 12.0"","" 15.9"",""  73.9"","" "",""  35.1"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-03-05"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  60.6"",""24"",""  32.7"",""24"",""1022.6"",""24"",""001.3"",""24"","" 10.0"",""24"",""  7.3"",""24"","" 21.0"","" 26.0"",""  77.0"","" "",""  35.1"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-03-06"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  63.1"",""24"",""  45.6"",""24"",""1019.5"",""24"",""998.2"",""24"","" 10.0"",""24"","" 16.6"",""24"","" 28.9"","" 35.0"",""  77.0"","" "",""  43.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
"72259003927,""2012-03-07"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  66.4"",""24"",""  56.1"",""24"",""1013.6"",""22"",""992.5"",""24"",""  9.6"",""24"","" 18.1"",""24"","" 22.0"","" 32.1"",""  72.0"","" "",""  54.0"","" "","" 0.00"",""G"",""999.9"",""010000"""
"72259003927,""2012-03-08"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  64.0"",""24"",""  59.2"",""24"",""1013.9"",""17"",""993.0"",""24"",""  8.8"",""24"","" 13.5"",""24"","" 28.9"","" 38.1"",""  72.0"","" "",""  46.0"","" "","" 0.01"",""G"",""999.9"",""010000"""
"72259003927,""2012-03-09"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  45.0"",""24"",""  31.8"",""24"",""1027.9"",""24"",""006.2"",""24"","" 10.0"",""24"","" 15.8"",""24"","" 22.0"","" 32.1"",""  52.0"",""*"",""  39.9"",""*"","" 0.13"",""G"",""999.9"",""010000"""
"72259003927,""2012-03-10"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  50.5"",""24"",""  34.7"",""24"",""1025.5"",""24"",""003.9"",""24"",""  8.8"",""24"",""  6.2"",""24"","" 11.1"","" 21.0"",""  54.0"","" "",""  41.0"","" "","" 0.00"",""G"",""999.9"",""010000"""
"72259003927,""2012-03-11"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  52.6"",""24"",""  49.0"",""24"",""1016.8"",""17"",""995.3"",""24"",""  5.8"",""24"",""  5.2"",""24"","" 11.1"",""999.9"",""  64.0"","" "",""  46.9"","" "","" 1.27"",""G"",""999.9"",""010000"""
"72259003927,""2012-03-12"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  61.7"",""24"",""  52.1"",""24"",""1014.3"",""24"",""993.1"",""24"",""  8.7"",""24"",""  9.9"",""24"","" 14.0"","" 18.1"",""  80.1"","" "",""  50.0"","" "","" 0.06"",""G"",""999.9"",""000000"""
"72259003927,""2012-03-13"",""32.8978"",""-97.0189"",""170.7"",""DAL FTW WSCMO AIRPORT, TX US"",""  68.2"",""24"",""  61.8"",""24"",""1016.5"",""22"",""995.8"",""24"",""  8.7"",""24"",""  9.9"",""24"","" 14.0"",""999.9"",""  80.1"","" "",""  54.0"","" "","" 0.00"",""G"",""999.9"",""000000"""
